origin,destination,distance
BOP,PAL,0.94
BOR,LPG,9.29
BOR,TYC,2.74
BOT,BAH,0.69
BOT,BNW,0.41
BOW,AYW,4.30
BOW,BRH,4.03
BPB,BPS,0.45
BPB,SQU,1.20
BPK,PBR,1.75
BPK,WMG,0.98
BPN,LAY,1.34
BPS,BPB,0.45
BPT,LGB,4.08
BPT,PYJ,4.18
BPW,FIT,1.43
BPW,PWY,1.30
BPW,SWI,34.49
BPW,YAE,6.25
BRA,DNO,4.40
BRA,HMS,10.90
BRC,ADW,2.63
BRC,FLD,2.13
BRE,HRO,3.20
BRE,SNF,2.00
BRF,BNC,2.21
BRF,NEL,1.24
BRG,KMS,2.63
BRG,WMA,5.13
BRH,BOW,4.03
BRH,DVY,8.33
BRI,BMT,0.89
BRI,KYN,4.60
BRI,LWH,1.03
BRK,GLY,4.46
BRK,PLG,4.14
BRL,GIR,12.25
BRL,STR,25.96
BRM,LLA,1.44
BRM,MFA,1.58
BRN,HLF,0.56
BRN,WES,1.18
BRO,RAN,15.60
BRO,UTY,7.59
BRP,BCC,4.56
BRP,HAS,4.01
BRR,DNL,9.06
BRR,NIT,1.59
BRS,NEM,1.19
BRS,SUR,1.08
BRT,SNE,2.54
BRT,WED,0.56
BRU,CLC,3.51
BRU,FRO,10.61
BRV,KNN,1.05
BRV,SLY,1.04
BRW,LVC,1.43
BRW,STM,1.17
BRX,DMK,1.11
BRX,HNH,0.51
BRX,KPA,5.41
BRX,VIC,3.18
BRY,BYD,1.18
BRY,BYI,0.80
BRY,RIA,3.27
BSB,FSK,1.83
BSB,THU,1.35
BSC,TAB,0.99
BSC,WSL,1.96
BSC,WVH,6.08
BSD,HBN,2.29
BSD,MDE,2.80
BSE,KNE,9.69
BSE,TRS,4.09
BSH,CPK,1.29
BSH,WFH,0.81
BSH,WFJ,1.45
BSI,BYF,1.55
BSI,MON,0.94
BSJ,BDM,0.75
BSJ,KMH,3.09
BSK,BMY,4.99
BSK,HOK,5.61
BSK,MIC,10.33
BSK,OVR,7.80
BSL,ARG,3.41
BSL,LCL,4.78
BSM,BMH,2.61
BSM,PKS,1.31
BSN,HBB,3.63
BSN,TPC,16.91
BSO,LAI,1.50
BSO,PSE,2.21
BSP,BSY,0.46
BSP,KNR,0.60
BSR,DMP,1.23
BSR,MAR,3.24
BSS,IRV,3.65
BSS,TRN,1.30
BSU,EDB,3.90
BSU,NEW,0.78
BSV,CRL,2.00
BSV,LEY,2.55
BSW,BMO,0.50
BSW,JEQ,0.75
BSY,BSP,0.46
BSY,WHD,0.50
BTB,BGG,3.61
BTB,HAB,6.44
BTB,MKR,14.63
BTB,SCU,11.39
BTD,GOE,0.76
BTD,SWN,2.43
BTE,SDN,0.71
BTE,WLS,1.70
BTF,ANC,12.54
BTF,ELO,2.60
BTF,GRA,7.38
BTG,ALV,1.98
BTG,BMV,3.58
BTG,LOB,2.53
BTH,CPM,12.94
BTH,FFD,7.20
BTH,OLF,1.01
BTL,DEW,1.34
BTL,MLY,3.18
BTN,HOV,1.45
BTN,LRB,0.76
BTN,PRP,1.35
BTO,DPD,2.59
BTO,REI,2.89
BTP,BTR,0.75
BTP,CES,1.25
BTR,BTP,0.75
BTR,CES,2.01
BTS,AUR,2.70
BTS,KGH,2.61
BTT,GTA,2.60
BTT,KLD,1.76
BTY,AON,4.84
BTY,FNH,3.91
BUB,BNC,0.49
BUB,RSG,1.08
BUC,BDA,2.15
BUC,CNY,2.24
BUD,KEN,1.75
BUD,SVL,2.48
BUE,CWC,3.33
BUE,SUY,4.86
BUG,HSK,2.06
BUG,WVF,0.84
BUH,BMF,4.98
BUH,FRY,2.95
BUI,CFF,1.03
BUI,KKH,1.35
BUJ,CTO,2.04
BUJ,LOW,2.33
BUK,HPT,2.94
BUK,KNI,4.24
BUL,BKT,0.84
BUL,FOK,1.08
BUO,HME,1.39
BUO,SNW,2.01
BUS,CKS,0.81
BUS,THT,1.00
BUT,TAM,12.98
BUT,WIL,4.89
BUU,ALN,2.96
BUU,SMN,2.23
BUW,BEY,2.24
BUW,MNN,1.36
BUX,DVH,3.04
BUY,HDY,0.78
BUY,LDS,2.33
BVD,ABW,1.48
BVD,ERH,1.23
BWB,FEN,1.00
BWB,WOB,2.04
BWD,GLZ,2.84
BWD,PDG,1.45
BWG,DBE,2.59
BWG,KPT,1.74
BWK,CHT,20.95
BWK,DUN,28.40
BWK,RSN,11.03
BWN,BLX,0.60
BWN,LAW,2.14
BWO,GSN,1.63
BWO,HWW,0.83
BWS,LBO,3.08
BWS,SIL,2.02
BWT,HIG,6.28
BWT,TAU,11.56
BXB,CHN,3.19
BXB,RYH,1.73
BXB,RYN,2.94
BXD,COH,4.71
BXD,UCK,2.31
BXH,BNH,1.15
BXH,WLI,1.39
BXW,DKG,0.91
BXW,LHD,3.15
BXY,AYP,1.01
BXY,CRY,1.45
BYA,GYM,4.69
BYA,REE,3.73
BYB,LGN,3.39
BYB,UTT,11.08
BYC,LWR,3.40
BYC,PYP,4.35
BYD,BRY,1.18
BYD,CAD,0.85
BYE,LLE,2.73
BYE,LLH,1.93
BYF,BSI,1.55
BYF,DEE,3.91
BYI,BRY,0.80
BYK,AWK,2.35
BYK,DON,1.63
BYL,GOF,1.04
BYL,MON,2.90
BYM,HBD,12.89
BYM,RSG,1.25
BYM,TOD,9.27
BYN,GSW,1.30
BYN,WGN,3.69
BYS,NRT,1.45
BYS,SEL,2.01
CAA,BEH,2.64
CAA,COV,3.00
CAC,BKR,6.00
CAC,DRU,2.51
CAD,BYD,0.85
CAD,DNS,1.90
CAG,AVM,6.48
CAG,INV,28.04
CAK,KBK,2.01
CAK,ULV,5.61
CAM,BAG,3.29
CAM,FML,2.23
CAN,ARB,6.13
CAN,GOF,0.56
CAO,HNF,1.86
CAO,LAW,2.05
CAR,AWT,9.60
CAR,DLS,4.04
CAR,GEA,8.53
CAR,LOC,25.83
CAR,PNR,17.85
CAR,WRL,4.28
CAS,MIH,2.94
CAS,RCD,1.61
CAT,WHS,1.66
CAU,SDP,1.36
CAU,SKN,1.31
CAY,BLG,1.83
CAY,SLS,0.80
CBB,LEL,1.90
CBB,SIV,1.15
CBC,GRL,5.45
CBC,WFF,0.75
CBD,DIN,3.00
CBD,MOO,2.68
CBE,BKS,2.93
CBE,SEG,6.58
CBG,CMB,2.29
CBG,DUL,11.36
CBG,FXN,6.98
CBG,SED,3.21
CBH,BET,0.64
CBH,LOF,0.65
CBK,PIN,2.55
CBK,WHM,3.00
CBL,GLC,5.04
CBL,NTN,1.59
CBL,RUT,1.89
CBN,HYL,5.89
CBN,RED,3.65
CBP,DRG,0.46
CBP,SGN,0.75
CBR,LWS,2.56
CBR,PMP,2.86
CBS,BAI,0.70
CBS,COA,0.96
CBW,CRT,3.16
CBW,STU,2.38
CBY,AUW,3.70
CBY,FIN,1.63
CCC,PNC,4.43
CCC,PTM,5.03
CCH,BAA,6.28
CCH,FSB,1.53
CCT,LGS,0.76
CCT,MFL,0.66
CCT,MUI,0.80
CDB,CDQ,1.08
CDD,GLT,3.50
CDD,LCG,2.18
CDF,CDQ,0.70
CDF,GTN,1.11
CDF,NNP,0.99
CDF,NWP,11.79
CDF,PYC,11.25
CDF,PYE,12.52
CDI,NTC,2.64
CDI,OKE,18.06
CDI,YEO,3.66
CDN,RHM,0.78
CDN,WME,0.91
CDO,GLC,3.78
CDO,HLE,0.64
CDQ,CDB,1.08
CDQ,CDF,0.70
CDQ,CYS,0.49
CDQ,HHL,2.55
CDQ,HLL,2.48
CDR,CGD,3.60
CDR,DLR,3.15
CDR,HLU,5.48
CDS,MHM,3.70
CDS,PUR,1.81
CDT,CPW,6.61
CDT,STJ,0.74
CDU,CNM,18.02
CDU,GCR,12.65
CDU,YAE,14.37
CDY,BGS,0.84
CDY,GKC,0.83
CEA,CRF,1.79
CEA,HTW,3.13
CED,LBZ,4.09
CED,TRI,4.44
CEF,DVH,2.30
CEF,WBR,3.81
CEH,NUN,10.75
CEH,WNE,7.54
CEH,WTO,1.50
CEL,ALD,3.01
CEL,GTR,3.84
CES,BTP,1.25
CES,BTR,2.01
CES,WNY,1.18
CET,COL,2.28
CET,HYH,1.03
CEY,SKI,3.06
CEY,SON,3.04
CFB,LAD,0.76
CFB,LSY,1.49
CFD,GLH,1.50
CFD,NOR,3.34
CFD,WDS,4.91
CFF,BUI,1.03
CFF,KGP,0.46
CFH,GRY,2.33
CFH,OCK,2.01
CFL,BIY,0.63
CFL,KEI,2.60
CFN,RDA,0.59
CFN,SML,2.10
CFO,AMR,2.05
CFO,CLW,2.21
CFR,ESL,2.00
CFR,ROM,5.16
CFT,CTF,0.90
CFT,NHD,1.16
CGD,CDR,3.60
CGD,HLC,1.16
CGM,BEV,4.29
CGM,HES,7.38
CGM,HUL,3.96
CGN,EBK,0.73
CGN,GTN,1.60
CGW,CYB,0.68
CGW,HPE,0.63
CHC,GLQ,0.79
CHC,PTK,1.70
CHD,ALF,10.16
CHD,DBY,24.15
CHD,DRO,5.30
CHE,EWE,1.46
CHE,SUO,1.01
CHF,MIK,5.24
CHF,SIE,2.26
CHF,ULL,1.86
CHG,AFK,6.10
CHG,LEN,4.00
CHH,BIG,4.80
CHH,HRH,2.39
CHI,HIP,1.83
CHK,BNI,0.93
CHK,KWB,1.08
CHL,GOM,3.94
CHL,SFR,1.84
CHM,HAP,6.18
CHM,INT,6.20
CHN,BXB,3.19
CHN,TEO,0.91
CHN,WLC,1.23
CHO,APF,6.61
CHO,DID,4.66
CHO,GOR,3.71
CHP,KND,2.39
CHP,WME,1.01
CHR,HNA,3.29
CHR,POK,1.95
CHT,ALM,11.18
CHT,BWK,20.95
CHU,BML,1.56
CHU,HTH,2.26
CHU,SPT,2.34
CHW,LES,1.34
CHW,WCF,0.96
CHX,WAE,0.82
CHY,ASN,1.43
CHY,VIR,2.50
CIL,CRT,2.08
CIL,WYE,4.71
CIM,BHR,1.99
CIM,GTH,3.38
CIR,CMD,1.11
CIR,HHY,0.45
CIT,ESD,0.98
CIT,PET,1.44
CIT,SMY,2.24
CKH,DUM,1.31
CKH,MPK,0.76
CKL,SBS,3.59
CKL,WTH,1.06
CKN,AXM,13.16
CKN,YVJ,8.80
CKS,BUS,0.81
CKS,GFN,1.30
CKT,HKH,1.41
CKT,MPK,0.55
CKY,NBE,2.50
CKY,RCA,2.00
CLA,HSY,3.18
CLA,LRD,3.25
CLC,BRU,3.51
CLC,TAU,27.44
CLC,YVP,11.60
CLD,KCK,1.24
CLD,ORP,1.50
CLE,NCE,1.54
CLG,HYW,1.09
CLG,OXS,1.85
CLH,HLD,13.36
CLH,WHE,3.75
CLI,KSL,3.01
CLI,SLD,2.98
CLJ,BAK,1.45
CLJ,EAD,1.66
CLJ,IMW,1.00
CLJ,QRB,1.26
CLJ,WNT,0.80
CLJ,WSW,1.36
CLK,ELE,0.79
CLK,NBC,0.75
CLL,BEX,0.81
CLL,COB,1.40
CLM,NCT,5.19
CLM,NNG,5.06
CLM,SWD,2.59
CLN,ELR,3.04
CLN,MHS,4.06
CLP,DMK,1.96
CLP,WWR,0.39
CLR,CUW,6.84
CLR,FGW,14.00
CLR,HVF,4.93
CLS,DHM,5.76
CLS,NCL,8.30
CLT,TLS,4.63
CLU,CRS,8.28
CLU,LNK,8.40
CLU,SDM,5.80
CLU,WSH,4.45
CLV,BER,3.25
CLV,HTN,1.74
CLV,LPW,5.46
CLW,CFO,2.21
CLW,RIC,2.19
CLY,EDL,5.74
CLY,HAZ,8.12
CLY,NMC,3.65
CMB,CBG,2.29
CMB,WBC,3.07
CMD,CIR,1.11
CMD,KTW,0.54
CME,FIN,3.58
CME,HND,1.06
CMF,MTB,0.79
