origin,destination,distance
HDM,BIT,12.97
HDM,PRR,5.75
HDN,SBP,0.98
HDN,WIJ,0.63
HDW,NBA,1.43
HDW,PBR,2.14
HDY,BUY,0.78
HDY,HRS,2.63
HEC,SLR,5.05
HEC,SWE,4.60
HED,HGN,2.38
HED,HNX,1.06
HEI,NAY,1.29
HEI,NRD,4.48
HEL,SNI,3.64
HEL,WBD,1.83
HEN,CRI,1.86
HEN,MIL,2.38
HER,ESH,1.53
HER,WAL,1.16
HES,CGM,7.38
HES,FRY,2.71
HES,HUL,4.80
HEV,CWN,1.99
HEV,EBT,1.76
HEW,BNR,3.74
HEW,NCL,2.98
HEX,CRB,3.11
HEX,HDB,7.58
HFD,AGV,23.99
HFD,LED,13.81
HFD,LEO,12.29
HFE,WAR,2.01
HFN,BAY,2.90
HFN,WAS,4.43
HFS,KKS,3.30
HFS,TNN,2.86
HFS,TNS,3.01
HFX,BGH,5.25
HFX,LMR,5.14
HFX,SOW,3.65
HGD,BDW,4.78
HGD,KIT,3.11
HGF,ATN,0.22
HGF,DSY,1.47
HGG,DLJ,0.40
HGG,HOX,0.51
HGM,GRV,4.59
HGM,SOO,2.61
HGN,HED,2.38
HGN,WID,1.74
HGR,GRP,1.79
HGR,LEE,0.63
HGR,LEW,1.26
HGR,SAJ,1.60
HGS,ORE,0.90
HGS,SLQ,0.73
HGT,HBP,0.89
HGT,SBE,2.14
HGY,FPK,0.89
HGY,HRN,0.65
HHB,MCM,2.00
HHD,VAL,3.09
HHE,BAB,3.94
HHE,WVF,2.91
HHL,CDQ,2.55
HHL,LLS,1.10
HHY,CIR,0.45
HHY,CNN,0.55
HHY,DYP,0.43
HHY,EXR,0.49
HIA,BHI,1.94
HIA,BKW,3.28
HIB,TBW,1.53
HIB,TON,3.35
HID,BMC,1.36
HID,BON,1.67
HIG,BWT,6.28
HIG,WOR,10.76
HIG,WSM,8.91
HIL,ANS,1.49
HIL,BDL,1.01
HIN,DSY,2.51
HIN,INC,1.66
HIN,WHG,2.49
HIP,CHI,1.83
HIP,WST,1.58
HIR,RHD,5.00
HIR,SET,6.04
HIT,ARL,4.99
HIT,LET,3.01
HIT,SVG,4.34
HKC,DLK,0.75
HKC,HMN,0.66
HKH,CKT,1.41
HKH,PCN,1.25
HKM,LCN,4.19
HKM,SWD,4.81
HKN,BLW,2.75
HKN,NSD,2.25
HKW,HMN,0.85
HKW,SRA,0.95
HLB,SEV,4.91
HLB,TON,2.50
HLC,CGD,1.16
HLD,CLH,13.36
HLD,GGV,6.11
HLD,LPR,1.33
HLE,CDO,0.64
HLE,HLW,0.59
HLF,BRN,0.56
HLF,MLN,1.61
HLG,SRI,0.56
HLG,YRD,1.33
HLI,GCT,1.31
HLI,SLL,1.01
HLL,CDQ,2.48
HLL,TGS,0.50
HLM,DKG,4.96
HLM,OLY,2.18
HLN,FLT,2.96
HLN,LEA,4.51
HLR,BLN,0.78
HLR,HTO,1.93
HLS,BDH,3.36
HLS,CSA,1.43
HLS,FTN,2.30
HLU,CDR,5.48
HLU,GCH,6.85
HLW,HLE,0.59
HLW,PYG,2.23
HLY,BLH,2.06
HLY,CRF,0.68
HLY,MTH,2.66
HMC,THD,0.94
HMD,EBN,1.99
HMD,PEV,3.08
HMD,PLG,2.23
HME,BUO,1.39
HME,NTL,0.68
HML,APS,1.41
HML,BKM,3.23
HMM,CTL,1.48
HMM,POP,5.86
HMN,HKC,0.66
HMN,HKW,0.85
HMP,FLW,1.66
HMP,KMP,1.76
HMP,SUU,2.21
HMS,BRA,10.90
HMS,KIL,9.56
HMT,AFK,5.53
HMT,APD,2.99
HMW,KNG,0.44
HMW,TED,1.13
HMY,EKL,1.64
HMY,THT,1.50
HNA,CHR,3.29
HNA,NWM,2.51
HNB,BCH,7.98
HNB,CSW,2.16
HNC,AIR,2.27
HNC,CTE,1.00
HNC,HNW,0.89
HND,CME,1.06
HND,OXF,6.98
HNF,CAO,1.86
HNF,RGT,4.16
HNG,PGM,1.71
HNG,YSM,0.91
HNH,BRX,0.51
HNH,LGJ,0.88
HNH,TUH,1.08
HNH,WDU,1.35
HNK,NBR,7.93
HNK,NUN,3.78
HNL,DZY,2.97
HNL,WWW,1.80
HNT,INS,13.25
HNT,KEH,12.40
HNW,BLT,1.79
HNW,HNC,0.89
HNX,CSG,2.39
HNX,HED,1.06
HNX,LPY,1.75
HNX,WSA,2.58
HOC,RFD,2.53
HOC,RLG,3.04
HOH,MYB,9.14
HOH,RIC,7.97
HOK,BSK,5.61
HOK,WNF,2.34
HOL,HAM,2.80
HOL,WRM,2.11
HON,AXM,10.19
HON,FNT,4.25
HOO,CPU,3.16
HOO,ERA,0.93
HOO,LTT,1.95
HOP,BAM,1.93
HOP,EDL,4.95
HOR,GTW,0.85
HOR,SAF,2.26
HOT,SHI,1.86
HOU,FEL,2.40
HOU,ISL,1.36
HOU,WTN,1.53
HOV,AGT,0.48
HOV,BTN,1.45
HOV,PRP,1.44
HOW,EGN,3.09
HOW,WRS,2.64
HOX,HGG,0.51
HOX,SDC,0.73
HOY,BBW,1.08
HOY,BHS,0.91
HOZ,LHW,4.50
HOZ,MIN,1.50
HPA,BCY,1.04
HPA,FOH,0.88
HPD,LTN,4.60
HPD,SAC,4.75
HPE,CGW,0.63
HPE,PNF,1.96
HPL,HRE,7.18
HPL,SEC,2.19
HPN,HCT,1.41
HPN,RSG,1.48
HPQ,DVC,1.36
HPQ,WRB,3.80
HPT,BME,2.54
HPT,BUK,2.94
HRD,ECS,3.06
HRD,TTF,7.80
HRE,HPL,7.18
HRE,SEA,5.75
HRH,CHH,2.39
HRH,LVN,1.08
HRH,WNH,2.06
HRL,LDN,1.94
HRL,TYG,2.53
HRM,HBN,2.43
HRM,LEN,1.69
HRN,AAP,0.93
HRN,HGY,0.65
HRO,BRE,3.20
HRO,GDP,1.48
HRR,PRN,3.26
HRR,WKG,1.89
HRS,HDY,2.63
HRS,WET,6.01
HRW,HDL,1.18
HRW,KNT,1.09
HRY,CRH,0.91
HRY,STO,1.14
HSB,CTR,7.43
HSB,FRD,2.53
HSB,INE,1.94
HSC,BCB,1.51
HSC,PBL,1.49
HSD,BHM,5.59
HSD,PRY,1.53
HSD,TAB,2.65
HSG,BAM,1.65
HSG,GRN,1.69
HSK,BUG,2.06
HSK,PRP,5.73
HSL,LIP,3.84
HSL,WTY,4.55
HST,BLG,0.56
HST,GLQ,0.44
HSW,NES,2.59
HSW,UPT,4.26
HSY,CLA,3.18
HSY,EFF,1.03
HTC,LVM,1.43
HTC,SPT,1.56
HTE,CPK,1.39
HTE,HDL,0.74
HTF,ACB,2.67
HTF,WSF,4.29
HTH,CHU,2.26
HTH,WML,1.54
HTN,CLV,1.74
HTN,LPW,4.10
HTN,WRP,2.88
HTN,WRW,4.19
HTO,FBY,2.11
HTO,HLR,1.93
HTW,CEA,3.13
HTW,SHS,1.60
HTY,BDB,1.03
HTY,GDL,0.68
HUB,BEM,7.13
HUB,FIL,2.71
HUD,DHN,2.00
HUD,LCK,1.23
HUD,SWT,4.44
HUL,CGM,3.96
HUL,HES,4.80
HUN,PBO,17.49
HUN,SNO,7.15
HUP,TRA,0.83
HUP,URM,1.19
HUR,EBT,4.34
HUR,LFD,5.04
HUR,OXT,0.95
HUT,ARR,5.06
HUT,DRF,3.20
HUY,PSC,1.98
HUY,ROB,0.46
HUY,WHN,1.96
HVF,CLR,4.93
HVF,JOH,4.85
HVN,SKG,3.06
HVN,WFL,1.78
HWB,NES,5.46
HWB,SHT,0.50
HWC,DVC,0.46
HWD,BCK,2.09
HWD,SHT,2.25
HWH,BLL,4.76
HWH,BMP,12.10
HWI,BLK,1.55
HWI,LOT,1.97
HWM,HWN,1.76
HWM,SAW,2.21
HWN,HWM,1.76
HWN,RYN,2.59
HWV,HXX,1.70
HWW,BWO,0.83
HWW,PKT,0.75
HWY,BCF,4.86
HWY,SDR,4.98
HXM,SAH,2.83
HXM,WRT,4.28
HXX,HAF,1.80
HXX,HAY,3.71
HXX,HWV,1.70
HYB,EVE,4.98
HYB,MIM,10.01
HYC,HYT,0.93
HYC,WLY,1.60
HYD,KGS,7.54
HYD,TAC,2.64
HYH,CET,1.03
HYH,COL,1.96
HYH,WIV,2.41
HYK,MNR,0.46
HYK,WKI,1.23
HYL,CBN,5.89
HYL,SER,1.59
HYM,EDB,1.24
HYM,EDP,3.61
HYM,LIN,16.36
HYM,SGL,3.25
HYM,SLA,1.74
HYM,UHA,11.25
HYN,ANL,0.94
HYN,JOR,0.49
HYN,PTK,0.70
HYR,TOO,1.28
HYR,WIM,0.83
HYS,WWI,1.16
HYT,GUI,1.79
HYT,HYC,0.93
HYW,CLG,1.09
HYW,SUR,2.09
IBM,BCN,1.18
IBM,INP,2.50
IFD,MNP,1.11
IFD,SVK,1.21
IFI,CRW,1.23
IFI,FGT,2.54
IGD,ASS,2.59
IGD,FRN,9.29
ILK,BEY,0.96
ILN,LGM,3.20
ILN,NOT,8.70
IMW,CLJ,1.00
IMW,WBP,0.91
INC,HIN,1.66
INC,WGN,1.01
INC,WGW,1.01
INE,HSB,1.94
INE,SNT,0.78
ING,DEE,3.39
ING,PTH,17.17
INH,CUA,0.43
INH,LRG,5.55
INK,DAG,1.43
INK,NQU,1.88
INK,ROS,1.50
INP,IBM,2.50
INP,WMS,2.26
INR,INS,10.60
INR,KTR,3.80
INS,HNT,13.25
INS,INR,10.60
INT,CHM,6.20
INT,SNF,3.38
INV,BEL,10.10
INV,CAG,28.04
INV,NRN,15.14
IPS,MIS,10.48
IPS,MNG,9.30
IPS,NMT,8.34
IPS,WFI,3.53
IRL,FLI,2.18
IRL,GLZ,1.20
IRV,BSS,3.65
IRV,KWN,3.35
ISL,HOU,1.36
ISL,SYL,0.73
ISP,BIT,5.94
ISP,OXP,3.54
IVR,LNY,1.48
IVR,WDT,1.54
IVY,PLY,11.75
IVY,TOT,11.50
JCH,MBR,2.49
JCH,MTO,0.50
JEQ,BSW,0.75
JEQ,THW,2.25
JHN,MIN,0.75
JHN,PYG,3.53
JOH,HVF,4.85
JOH,MFH,3.99
JOR,HYN,0.49
JOR,SCH,1.10
KBC,FRS,7.61
KBC,KIL,7.19
KBF,ASK,3.26
KBF,FOX,2.20
KBK,CAK,2.01
KBK,GOS,2.20
KBN,QPW,0.69
KBN,SOH,0.58
KBW,SVG,2.55
KBW,WLW,3.04
KBX,FRI,1.24
KBX,TLS,2.58
KCK,CLD,1.24
KCK,DNG,4.03
KDB,BKH,0.99
KDB,ELW,1.09
KDG,ASG,2.34
KDG,CNG,5.63
KDG,LPT,3.46
KDY,GLT,7.00
KDY,KGH,3.14
KDY,MNC,7.38
KEH,ELG,18.18
KEH,HNT,12.40
KEI,CFL,2.60
KEI,SON,3.09
KEL,MKT,4.39
KEL,WTM,3.66
KEM,STD,11.18
KEM,SWI,13.70
KEN,BUD,1.75
KEN,OXN,2.35
KET,COR,7.50
KET,MHR,11.15
KET,WEL,6.75
KEY,DOC,0.56
KEY,SBF,0.88
KEY,SBV,0.94
KGE,SLA,0.88
KGE,WTA,1.09
KGH,BTS,2.61
KGH,KDY,3.14
KGL,APS,2.14
KGL,WFJ,3.51
KGM,MIM,6.96
KGM,SIP,3.00
KGN,EGG,3.94
KGN,PMA,2.84
KGP,CFF,0.46
KGP,LGS,1.49
KGP,MFL,1.20
KGS,BAN,1.40
KGS,BCS,12.44
KGS,HYD,7.54
KGT,NAR,5.68
KGT,SDF,0.74
KGX,FPK,2.51
KID,BKD,3.13
KID,HBY,3.61
KIL,HMS,9.56
KIL,KBC,7.19
KIN,AVM,11.99
KIN,NWR,2.76
KIR,FAZ,1.69
KIR,RNF,5.05
KIT,HGD,3.11
KIT,NBY,5.40
KIV,KVP,1.23
KIV,WDH,4.19
KKB,NSD,2.60
KKB,SPK,1.10
KKD,RIL,1.41
KKD,SDL,0.86
KKD,WAO,1.29
KKH,BUI,1.35
KKH,NTN,1.48
KKM,MOS,3.18
KKM,PFY,6.41
KKM,SLW,2.59
KKN,CRS,17.75
KKN,CUH,4.50
KKN,LVG,2.95
KKS,DON,3.56
KKS,HFS,3.30
KLD,BTT,1.76
KLD,COM,4.09
KLF,APY,3.50
KLF,LDS,4.13
KLM,KMK,2.24
KLM,STT,3.25
KLN,WTG,6.04
KLY,PUR,1.20
KLY,WHY,1.36
KMH,BSJ,3.09
KMH,SWR,1.73
KMK,AUK,13.75
KMK,KLM,2.24
KMK,TRN,8.98
KML,NGT,3.70
KML,SIT,1.90
KML,SWL,1.96
KMP,HMP,1.76
KMP,SUU,0.45
KMS,BRG,2.63
KMS,OTF,2.91
KNA,CTL,6.40
KNA,SBE,1.71
KND,CHP,2.39
KND,TAD,1.33
KNE,BSE,9.69
KNE,NMK,5.06
KNE,SOJ,9.85
KNF,MOB,2.60
KNF,PLM,2.71
KNG,HMW,0.44
KNG,NBT,0.81
KNI,BUK,4.24
KNI,KNU,2.58
KNL,QPW,0.83
KNL,WIJ,0.94
KNN,BHM,7.18
KNN,BRV,1.05
KNN,NFD,1.40
KNN,WTO,11.99
KNO,PFM,1.95
KNO,WBD,4.35
KNR,BSP,0.60
KNR,WIJ,0.98
KNS,PTL,0.67
KNS,PWW,1.05
KNT,HRW,1.09
KNT,SOK,0.86
KNU,KNI,2.58
KNU,LGO,3.85
KNW,COV,5.11
KNW,LMS,4.54
KPA,AML,3.74
KPA,BRX,5.41
KPA,SPB,1.25
KPA,WBP,1.00
KPA,WIJ,2.75
KPA,WMB,5.49
KPT,BWG,1.74
KPT,DMR,1.28
KRK,NCK,7.36
KRK,SQH,3.23
KSL,CLI,3.01
KSL,FNW,0.66
KSN,DVP,2.18
KSN,SPH,3.36
KSW,APP,10.68
KSW,GSD,8.25
KTH,BKJ,0.83
KTH,PNE,0.63
KTL,BGG,6.21
KTL,GNB,10.28
KTN,STP,1.54
KTN,WHP,2.48
KTR,DYC,7.05
KTR,INR,3.80
KTW,CMD,0.54
KTW,GPO,0.64
KVD,ANL,1.00
KVD,MYH,1.00
KVP,KIV,1.23
KVP,SRO,3.21
KWB,BFD,0.99
KWB,CHK,1.08
KWD,BGI,0.86
KWD,WFF,1.11
KWG,GUN,1.06
KWG,RMD,1.34
KWL,FYS,4.30
KWL,PBY,5.41
KWN,DLY,3.48
KWN,IRV,3.35
KWN,STV,2.31
KYL,DRN,3.88
KYN,BRI,4.60
KYN,OLF,5.89
LAC,EWR,1.44
LAC,SSE,2.40
LAD,CFB,0.76
LAD,LEW,0.73
LAD,SAJ,1.03
LAG,CWD,2.25
LAG,SHB,2.10
LAI,BSO,1.50
LAI,WHR,3.66
LAK,BND,3.85
LAK,SPP,5.29
LAM,MRB,3.51
LAM,PMB,1.51
LAN,BAR,2.59
LAN,CNF,6.09
LAN,OXN,19.09
LAN,PRE,21.04
LAP,EGG,3.89
LAP,MRD,2.34
LAR,FRL,3.08
LAS,SKE,1.75
LAS,SWA,3.99
LAU,MTS,10.00
LAU,STN,14.44
LAW,BWN,2.14
LAW,CAO,2.05
LAY,BPN,1.34
LAY,PFY,1.95
LBG,BFR,1.13
LBG,CST,0.70
LBG,DEP,3.08
LBG,NWX,2.99
LBG,NXG,2.83
LBG,SBM,1.80
LBG,WAE,1.35
LBK,NMP,9.65
LBK,RUG,9.40
LBO,ALF,24.48
LBO,ATB,10.16
LBO,BWS,3.08
LBO,EMD,5.00
LBO,LGE,8.85
LBO,LGM,18.15
LBR,DYF,2.21
LBR,PES,0.74
LBT,CMO,1.45
LBT,CRO,9.99
LBT,CUB,8.00
LBT,STG,8.09
LBZ,BLY,6.46
LBZ,CED,4.09
LCC,AAT,4.18
LCC,GVE,5.44
LCG,CDD,2.18
LCG,COW,2.21
LCK,BBW,1.07
LCK,HUD,1.23
LCL,BSL,4.78
LCL,GLF,9.18
LCN,HKM,4.19
LCN,MGM,9.50
LCN,MKR,14.75
LCN,SXY,6.14
LCS,GLF,6.68
LCS,LHE,3.75
LDN,HRL,1.94
LDN,PES,0.64
LDS,BLE,4.02
LDS,BUY,2.33
LDS,COT,2.55
LDS,CRG,4.41
LDS,GSY,10.14
LDS,KLF,4.13
LDS,OUT,7.55
LDS,WDS,5.99
LDY,MNC,5.85
LDY,PTH,17.76
LDY,SPF,3.23
LEA,HLN,4.51
LEA,LUT,2.50
LEB,SRA,2.45
LEB,TOM,1.00
LED,CWL,4.14
LED,HFD,13.81
LEE,GRP,1.56
LEE,HGR,0.63
LEE,MTG,1.69
LEG,RNH,0.25
LEG,SHJ,1.75
LEH,MGN,1.59
LEH,SCF,1.11
LEI,MHR,16.04
LEI,MMO,15.00
LEI,SWS,3.75
LEI,SYS,4.70
LEL,CBB,1.90
LEL,LTS,0.44
LEM,LER,0.74
LEM,WMW,1.13
LEN,CHG,4.00
LEN,HRM,1.69
LEO,HFD,12.29
LEO,LUD,10.92
LER,LEM,0.74
LER,WNP,1.19
LES,BEF,3.39
LES,CHW,1.34
LET,BDK,1.96
LET,HIT,3.01
LEU,CUP,6.23
LEU,DEE,8.34
LEW,BKH,0.90
LEW,HGR,1.26
LEW,LAD,0.73
LEW,NHD,1.81
LEW,SAJ,0.45
LEY,BSV,2.55
LEY,EBA,2.75
LEY,PRE,4.03
LFD,DMS,1.50
LFD,HUR,5.04
LGB,BPT,4.08
LGB,WDL,2.74
LGD,ACL,2.45
LGD,BDA,2.20
LGE,ATB,2.95
LGE,EMD,3.85
LGE,LBO,8.85
LGE,SPO,5.44
LGF,FNR,2.86
LGF,MEP,2.56
LGG,ROW,1.39
LGG,SGB,1.60
LGG,SMR,2.05
LGJ,EPH,2.01
LGJ,HNH,0.88
LGK,MSK,0.55
LGK,RCE,1.55
LGM,ALF,6.33
LGM,EMD,13.15
LGM,ILN,3.20
LGM,LBO,18.15
LGN,BYB,3.39
LGN,SOT,2.40
LGO,KNU,3.85
LGO,LLT,2.98
LGS,CCT,0.76
LGS,KGP,1.49
LGS,PWE,0.53
LGW,APP,11.40
LGW,LZB,4.20
LHA,DAL,2.75
LHA,FOC,5.50
LHD,AHD,1.80
LHD,BKA,2.54
LHD,BXW,3.15
LHE,CPA,2.86
LHE,LCS,3.75
LHM,DNY,3.61
LHM,GLS,2.09
LHO,RGW,2.10
LHO,WHE,2.35
LHS,FST,1.73
LHS,WEH,2.37
LHW,GLG,3.98
LHW,HOZ,4.50
LHW,MIN,4.95
LIC,LTV,1.25
LIC,SEN,2.91
LID,MLB,1.43
LID,RID,1.90
LIH,PHR,1.66
LIH,TON,2.50
LIN,DAM,9.96
LIN,EDP,12.75
LIN,HYM,16.36
LIN,PMT,4.70
LIP,HSL,3.84
LIP,LIS,4.61
LIS,LIP,4.61
LIS,PTR,3.44
LIT,ANG,5.10
LIT,ARU,3.23
LIT,FOD,2.02
LIV,EDG,1.54
LIV,LVC,0.53
LIV,LVS,2.00
LIV,MRF,0.59
LKE,SAN,0.75
LKE,SHN,1.25
LLA,BRM,1.44
LLA,TLB,2.29
LLC,PRH,0.79
LLC,TAL,1.26
LLD,DGY,1.73
LLE,BYE,2.73
LLE,GWN,5.64
LLE,PBY,3.63
LLF,BNG,7.29
LLF,PMW,2.74
LLG,LLL,5.65
LLG,LNR,1.76
LLH,BYE,1.93
LLH,PTD,2.31
LLI,AMF,1.79
LLI,FFA,4.19
LLJ,CNW,1.06
LLJ,CWB,4.03
LLJ,DGY,1.25
LLJ,GCW,1.88
LLL,FFA,0.85
LLL,LLG,5.65
LLM,GTH,1.73
LLM,LNW,3.38
LLN,CYS,2.75
LLN,RDR,1.05
LLO,BHR,5.59
LLO,PNY,3.65
LLR,PCD,2.94
LLR,PYC,2.00
LLS,HHL,1.10
LLS,LVT,0.80
LLT,DOL,3.64
LLT,LGO,2.98
LLV,CYN,4.69
LLV,LNR,3.80
LLW,FRB,2.66
LLW,TNF,4.12
LLY,TNP,1.05
LLY,YSR,1.34
LMR,BDI,2.85
LMR,HFX,5.14
LMS,BAN,19.90
LMS,KNW,4.54
LMS,WRW,1.94
LNB,ECP,1.00
LNB,YSM,2.86
LND,DRM,4.53
LND,PST,3.41
LNG,SNG,1.75
LNG,VIR,1.95
LNK,CLU,8.40
LNR,LLG,1.76
LNR,LLV,3.80
LNW,LLM,3.38
LNW,SUG,2.75
LNY,IVR,1.48
LNY,SLO,2.23
LNZ,BBG,3.01
LNZ,CRO,5.25
LOB,BTG,2.53
LOB,NFD,1.01
LOC,CAR,25.83
LOC,CRS,47.84
LOF,CBH,0.65
LOF,DLK,1.57
LOF,HAC,0.55
LOH,BMB,1.13
LOH,PRE,2.85
LOO,SDP,2.13
LOS,BOD,3.39
LOS,PAR,4.44
LOT,BON,3.06
LOT,HWI,1.97
LOW,BUJ,2.33
LOW,THU,2.19
LPG,BNG,3.48
LPG,BOR,9.29
LPR,GIG,3.83
LPR,HLD,1.33
LPR,SET,3.88
LPT,KDG,3.46
LPT,SOT,4.00
LPW,CLV,5.46
LPW,DDG,2.55
LPW,HTN,4.10
LPY,CSG,0.75
LPY,HNX,1.75
LPY,RUN,6.00
LPY,WSA,1.00
LRB,BTN,0.76
LRB,MCB,1.04
LRD,CLA,3.25
LRD,GLD,1.30
LRG,INH,5.55
LRG,ROG,10.06
LRH,MEY,1.00
LSK,BOD,9.21
LSK,COE,2.06
LSK,MEN,3.04
LSN,BHG,3.00
LSN,UHA,3.00
LST,BET,1.14
LSW,BID,0.85
LSW,MRT,0.58
LSY,CFB,1.49
LSY,NBC,0.53
LTG,NWI,1.40
LTG,PLM,1.98
LTH,EBV,5.00
LTH,NBE,3.00
LTK,AYS,4.34
LTK,MRS,1.53
LTL,SMB,1.06
LTL,WDN,4.06
LTM,AFV,1.24
LTM,MOS,2.66
LTN,HPD,4.60
LTN,LUT,1.01
LTP,DOW,10.08
LTP,ELY,5.65
LTS,LEL,0.44
LTS,SER,0.68
LTT,HOO,1.95
LTT,OVE,0.78
LTV,LIC,1.25
LTV,RGL,8.01
LTV,TAM,6.25
LUD,CRV,7.56
LUD,LEO,10.92
LUT,LEA,2.50
LUT,LTN,1.01
LUX,BGL,2.06
LUX,PAR,4.11
LVC,BRW,1.43
LVC,LIV,0.53
LVC,LVJ,0.45
LVC,MRF,0.56
LVG,KKN,2.95
LVG,WCL,2.75
LVJ,BKQ,1.18
LVJ,LVC,0.45
LVJ,MRF,0.29
LVM,HTC,1.43
LVM,MAN,2.91
LVN,FGT,2.28
LVN,HRH,1.08
LVS,LIV,2.00
LVT,CPH,2.50
LVT,LLS,0.80
LWH,BRI,1.03
LWH,SRD,0.58
LWM,BGN,9.39
LWM,RIA,6.45
LWR,BYC,3.40
LWR,NLR,0.50
LWS,CBR,2.56
LWS,FMR,4.46
LWS,GLY,3.06
LWS,SEE,3.40
LWT,OUN,1.44
LWT,OUS,2.15
LYC,EXN,0.41
LYC,LYM,1.10
LYD,CPW,7.95
LYD,GCR,19.40
LYE,CRA,1.25
LYE,SBJ,1.34
LYM,EXM,2.03
LYM,LYC,1.10
LYP,LYT,0.51
LYT,BCU,4.88
LYT,LYP,0.51
LZB,AWT,5.60
LZB,LGW,4.20
MAC,CNG,8.08
MAC,PRB,2.64
MAG,MNS,0.81
MAG,ORN,1.53
MAI,FZP,1.28
MAI,TAP,1.75
MAI,TWY,6.78
MAL,MOT,1.34
MAL,TOL,1.01
MAN,ADK,0.89
MAN,LVM,2.91
MAN,MAU,3.73
MAN,MCO,0.65
MAO,ACT,2.29
MAO,BCE,1.02
MAR,BSR,3.24
MAR,WGA,1.43
MAS,CRM,9.35
MAS,NCL,0.58
MAT,MTB,1.09
MAU,BNA,0.88
MAU,MAN,3.73
MAX,PLW,0.50
MAX,SHL,0.66
MAY,AYR,8.96
MAY,GIR,12.36
MBK,RDB,1.74
MBK,SOU,0.90
MBR,JCH,2.49
MBR,SBK,2.50
MBR,TBY,3.21
MBT,EXT,1.35
MBT,SCS,6.28
MCB,FMR,1.75
MCB,LRB,1.04
MCE,BLO,1.96
MCE,DOT,1.23
MCH,MNE,5.75
MCH,WLE,8.80
MCM,BAR,1.43
MCM,HHB,2.00
MCN,CWS,21.65
MCN,DVY,3.90
MCO,DGT,0.36
MCO,MAN,0.65
MCV,ABY,3.86
MCV,AHN,6.30
MCV,DTN,8.38
MCV,MSO,4.06
MCV,SFD,0.74
MDB,AYL,3.09
MDB,MDW,0.45
MDE,BMG,2.41
MDE,BSD,2.80
MDG,AMT,1.95
MDG,THA,2.75
MDL,DSL,1.46
MDL,HAZ,2.38
MDN,CNO,6.53
MDN,DCW,7.64
MDS,SIH,0.48
MDS,SMO,0.64
MDW,EFL,1.83
MDW,MDB,0.45
MEC,BES,3.03
MEC,SOP,1.19
MEL,RYS,3.04
MEL,STH,1.90
MEN,LSK,3.04
MEN,SGM,5.49
MEO,MNR,0.75
MEO,MRT,1.79
MEP,LGF,2.56
MEP,SOR,0.94
MER,PTB,1.60
MES,WCM,3.55
MES,WDB,2.03
MEV,QYD,2.05
MEV,TRD,1.90
MEW,GMG,0.75
MEW,MST,0.50
MEX,CNS,2.28
MEX,SWN,1.01
MEY,CTE,1.00
MEY,LRH,1.00
MFA,BRM,1.58
MFA,FRB,1.10
MFF,PRH,1.16
MFF,PTM,2.18
MFH,JOH,3.99
MFL,CCT,0.66
MFL,COI,0.54
MFL,KGP,1.20
MFT,MSW,1.70
MFT,SPK,2.80
MGM,LCN,9.50
MGM,RKT,7.18
MGN,BHI,1.71
MGN,LEH,1.59
MHM,CDS,3.70
MHM,RDH,1.76
MHR,KET,11.15
MHR,LEI,16.04
MHS,CLN,4.06
MHS,RMC,2.62
MHS,SHF,3.39
MIA,HDG,1.94
MIA,SYA,2.24
MIC,BSK,10.33
MIC,WIN,8.49
MIH,CAS,2.94
MIH,MSO,1.92
MIJ,BAL,4.10
MIJ,HCB,1.14
MIJ,MTC,1.00
MIJ,STE,2.78
MIK,CHF,5.24
MIK,EGF,1.43
MIK,SOM,3.15
MIL,ELS,3.09
MIL,HEN,2.38
MIM,HYB,10.01
MIM,KGM,6.96
MIN,HOZ,1.50
MIN,JHN,0.75
MIN,LHW,4.95
MIR,BGH,4.00
MIR,DHN,2.69
MIR,RVN,1.65
MIR,WKK,9.36
MIS,IPS,10.48
MIS,MNG,1.70
MIS,WRB,3.95
MKC,BLY,3.15
MKC,WOL,2.61
MKM,CPM,6.21
MKM,TRO,5.80
MKR,BTB,14.63
MKR,LCN,14.75
MKT,COL,5.04
MKT,CWC,3.48
MKT,KEL,4.39
MLB,LID,1.43
MLB,SWR,1.16
MLD,CTR,7.25
MLD,DLM,2.90
MLF,GOD,1.79
MLF,WTY,2.19
MLG,MRR,2.83
MLH,BBN,1.20
MLH,CYT,0.66
MLM,GNR,2.54
MLM,SIC,3.03
MLN,HLF,1.61
MLT,SEM,18.03
MLT,YRK,21.15
MLW,BNE,2.68
MLY,BTL,3.18
MLY,COT,2.08
MMO,LEI,15.00
MMO,OKM,11.36
MMO,SIL,12.29
MMO,SYS,10.09
MNC,GLT,5.10
MNC,KDY,7.38
MNC,LDY,5.85
MNE,ELY,9.83
MNE,MCH,5.75
MNE,SPP,13.81
MNG,COL,7.78
MNG,IPS,9.30
MNG,MIS,1.70
MNN,BUW,1.36
MNN,GSY,1.44
MNP,FOG,0.96
MNP,IFD,1.11
MNR,HYK,0.46
MNR,MEO,0.75
MNS,MAG,0.81
MNS,TWN,1.88
MOB,ASY,1.88
MOB,KNF,2.60
MOG,OLD,0.43
MON,BSI,0.94
MON,BYL,2.90
MOO,BEL,2.91
MOO,CBD,2.68
MOR,BMY,3.34
MOR,RDW,6.15
MOR,RGP,4.24
MOS,KKM,3.18
MOS,LTM,2.66
MOT,MAL,1.34
MOT,RAY,1.10
MOT,WCP,0.96
MPK,CKH,0.76
MPK,CKT,0.55
MPL,RML,1.64
MPL,SRN,2.23
